Version,Assignee,Created,Created Epoch,Description,Comments
CAMEL-15923,Andrea Cosentino,2020-12-07T06:28:18+0000,1607304498， where 1607304498 is the epoch,,There are no comments yet on this issue.
CAMEL-15922,Unassigned,2020-12-04T09:30:34+0000,1607056234， where 1607056234 is the epoch,The csimple language does not support the following feature in its first release nested functions (${xxx} inside existing ${xxx} functions)) the null safe operator We need a smarter source code generator for this to support this， that supports building up multiple statements and assign to local variables， and branches for the null safe operator， and also to understand types of method calls for nested functions so its of the same type from the java compiler point of view.,There are no comments yet on this issue.
CAMEL-15921,Zoran Regvart,2020-12-03T20:06:58+0000,1607008018， where 1607008018 is the epoch,Would be nice to offer a selection of related blog posts at the bottom of a blog post.,There are no comments yet on this issue.
CAMEL-15920,Unassigned,2020-12-03T16:20:28+0000,1606994428， where 1606994428 is the epoch,Parsing a CSV file fails if the following conditions are met: tab separator last field is empty not all fields are required Example 1CSV: "VOA\t12 abc street\tMelbourne\tVIC\t3000\tAustralia\t\t"The last two fields are empty and the CSV cannot be parsed.Example 2CSV: "VOA\t12 abc street\tMelbourne\tVIC\t3000\tAustralia\t\tNot Empty"The last field is not empty and the CSV can be parsed. Example 3CSV: "VOA，12 abc street，Melbourne，VIC，3000，Australia，，"If the comma separator is used and the last field is empty， the CSV can be parsed.I've just created a test case on current master to demonstrate the bug:Camel-Bindy: csv cannot be parsed if (not required) last field is empty and a tab separator is used by darioxz - Pull Request #1 - darioxz/camel (github.com),There are no comments yet on this issue.
CAMEL-15919,Unassigned,2020-12-03T15:34:28+0000,1606991668， where 1606991668 is the epoch,Currently， specifying "java.io.File" class as response model (for example when the API returns a binary document， aka "Download") in RestOperationResponseMsgDefinition produces an incorrect Swagger / OAS2 / OAS3 definition: "responses" : { "200" : { "description" : "Created PDF file"， "schema" : { "type" : "string"， "format" : "java.io.File" }， }， // ....} The correct way to handle this according to Swagger docs v2 (https://swagger.io/docs/specification/2-0/describing-responses/) is:"responses" : { "200" : { "description" : "Created PDF file"， "schema" : { "type" : "file" }， }， // ....} camel-openapi-java with OAS2 / OAS3 is also affected.,There are no comments yet on this issue.
CAMEL-15918,Unassigned,2020-12-03T15:09:22+0000,1606990162， where 1606990162 is the epoch,The releases page is missing earlier releases for:camel-kcamel-k runtimeOnly a single release is currently listed for each， however there are many more:https://archive.apache.org/dist/camel/camel-k/https://archive.apache.org/dist/camel/camel-k-runtime/,There are no comments yet on this issue.
CAMEL-15917,Unassigned,2020-12-03T15:05:26.131Z,1606989926.131， where 1606989926.131 is the epoch,I'm using camel-resilien4j library:<groupId>org.apache.camel.springboot</groupId><artifactId>camel-spring-boot-dependencies</artifactId><version>3.4.4</version><groupId>org.apache.camel</groupId><artifactId>camel-resilience4j</artifactId>I want to use https://camel.apache.org/components/latest/properties-component.htmlfunctionality for circuit breaker configuration in camel routes definitions.It's needed to be able to add some specific route to some specific group. So I'm trying to do following. <circuitBreaker configurationRef="{{myName}}"> <to uri="direct:someUri"/> </circuitBreaker> But it doesn't work. myName is not resolved using property file. I can't hardcode names. As I can see - ResilienceReifier doesn't even try to resolve it using config.ResilienceReifier#buildResilience4jConfiguration if (definition.getConfigurationRef() != null) { final String ref = definition.getConfigurationRef(); loadProperties(properties， Suppliers.firstNotNull( () -> camelContext.getExtension(Model.class).getResilience4jConfiguration(ref)， () -> mandatoryLookup(ref， Resilience4jConfigurationDefinition.class))， configurer); } so definition (ref) is transferred as is. And it cause an issue， because there is no such config as myName.What I would expect to see， is: if (definition.getConfigurationRef() != null) { /// here is modified code Optional<String> configuredValue = camelContext.getPropertiesComponent().resolveProperty(definition.getConfigurationRef(); final String ref = configuredValue.isPresent() ? configuredValue.get() : definition.getConfigurationRef(); /// end of modified code loadProperties(properties， Suppliers.firstNotNull( () -> camelContext.getExtension(Model.class).getResilience4jConfiguration(ref)， () -> mandatoryLookup(ref， Resilience4jConfigurationDefinition.class))， configurer); } It's simple lookup for configuration value， but it provides a huge flexibility for entire framework. Also， is there anyway， how I can temporary hotfix this issue， in order to proceed with development?,Hide Permalink Claus Ibsen added a comment - 3 days ago All the reifiers for CBs can be improved to resolve that ref as text， there is some parseText method - other reifiers use， then {{ }} is resolved. Take a look at that， and you are welcome to provide PR for this for 3.4.x branch and also the master branch. Show Claus Ibsen added a comment - 3 days ago All the reifiers for CBs can be improved to resolve that ref as text， there is some parseText method - other reifiers use， then {{ }} is resolved. Take a look at that， and you are welcome to provide PR for this for 3.4.x branch and also the master branch. Hide Permalink Alex Liroyd added a comment - 3 days ago Ok. Will see what can I do. Hopefully will send it in day or two Show Alex Liroyd added a comment - 3 days ago Ok. Will see what can I do. Hopefully will send it in day or two Hide Permalink Alex Liroyd added a comment - 2 days ago Provided PRs for both 3.4.x and master Show Alex Liroyd added a comment - 2 days ago Provided PRs for both 3.4.x and master Hide Permalink Alex Liroyd added a comment - 2 days ago Could you please assist， when can I expect to get these changes from maven repository for 3.4.x branch? Show Alex Liroyd added a comment - 2 days ago Could you please assist， when can I expect to get these changes from maven repository for 3.4.x branch? Hide Permalink Alex Liroyd added a comment - 2 days ago Nwm， found it - https://issues.apache.org/jira/projects/CAMEL/versions/12348825 it's end of 2020 Show Alex Liroyd added a comment - 2 days ago Nwm， found it - https://issues.apache.org/jira/projects/CAMEL/versions/12348825 it's end of 2020
CAMEL-15916,Unassigned,2020-12-03T11:53:28+0000,1606978408， where 1606978408 is the epoch,Docs https://camel.apache.org/components/latest/mongodb-component.html do not have step to add ```<repositories> <repository> <id>spring-milestone</id> <name>Spring Maven MILESTONE Repository</name> <url>https://repo.spring.io/libs-milestone</url> </repository></repositories>```to pm.file in order to create mongoDB client according to https://docs.spring.io/spring-data/mongodb/docs/current/reference/html/#reference It's better to add direct link to spring to avoid this issue.Stack-overflow issue https://stackoverflow.com/questions/61313732/configuration-problem-unable-to-locate-spring-namespacehandler-for-xml-schema-n/65125398#65125398 Later I'll add pull request to docs,There are no comments yet on this issue.
CAMEL-15915,Otavio Rodolfo Piske,2020-12-03T10:01:24+0000,1606971684， where 1606971684 is the epoch,There are 5 unit tests in camel-ftp that keeps failing for a long time. Not reproducable on mac osx. So it may be linux.org.apache.camel.component.file.remote.FromFtpDirectoryToBinaryFilesNotStepwiseTest.testFtpRoute 1.1 sec 92 org.apache.camel.component.file.remote.FromFtpDirectoryToBinaryFilesTest.testFtpRoute 1.1 sec 92 org.apache.camel.component.file.remote.FromFtpSetNamesWithMultiDirectoriesTest.testFtpRoute 0.37 sec 92 org.apache.camel.component.file.remote.FromFtpToBinaryFileTest.testFtpRoute 1.1 sec 92 org.apache.camel.component.file.remote.FromFtpToBinaryFilesTest.testFtpRoute 1.2 sec 92,Hide Permalink Claus Ibsen added a comment - 3 days ago CI server report https://ci-builds.apache.org/job/Camel/job/Camel%20JDK11/job/master/lastCompletedBuild/testReport/ Show Claus Ibsen added a comment - 3 days ago CI server report https://ci-builds.apache.org/job/Camel/job/Camel%20JDK11/job/master/lastCompletedBuild/testReport/
CAMEL-15914,Claus Ibsen,2020-12-03T09:55:12+0000,1606971312， where 1606971312 is the epoch,We need to know if csimple is from predicate or expression when loaded on bootstrap,There are no comments yet on this issue.
CAMEL-15913,Zoran Regvart,2020-12-04T13:02:40+0000,1607068960， where 1607068960 is the epoch,The prior releases pages contain some spurious text:'3.4.4 3.6.0 2.25.2'This appears just after the 'camel-spring-boot-dependencies' section above the 'APACHE CAMEL' headingSee for example:https://deploy-preview-500--camel.netlify.app/releases/release-2.22.0/andhttps://deploy-preview-500--camel.netlify.app/releases/release-3.6.0/,Hide Permalink Zoran Regvart added a comment - 2 days ago Thanks for reporting! Show Zoran Regvart added a comment - 2 days ago Thanks for reporting!
CAMEL-15912,Unassigned,2020-12-02T07:13:41+0000,1606875221， where 1606875221 is the epoch,There are 14 standard fonts provided OOB and not able to load custom fonts from file in camel-pdf componentCustom fonts with Apache PDFBox component,There are no comments yet on this issue.
CAMEL-15911,Nicola Ferraro,2020-12-02T09:54:48+0000,1606884888， where 1606884888 is the epoch,There is no need to distribute the Camel K runtime POM， it is already included in the source zip package and folk will be downloading it from Maven central repository， it is of no use to anyone in the distribution.,Hide Permalink Nicola Ferraro added a comment - 4 days ago Updated released files and instructions for next releases Show Nicola Ferraro added a comment - 4 days ago Updated released files and instructions for next releases
CAMEL-15910,Gregor Zurowski,2020-12-01T12:37:03+0000,1606808223， where 1606808223 is the epoch,We need to include source packages for Camel Karaf and Camel Spring Boot as they are released with Camel core release. Since we split out Camel Karaf and Camel Spring Boot sources of those also need to be present with hashes and signatures in ASF distribution.,There are no comments yet on this issue.
CAMEL-15909,Andrea Cosentino,2020-11-30T16:08:27+0000,1606734507， where 1606734507 is the epoch,Like SQS， Kinesis also supports KMS. Would be great to add options KmsMasterKeyId and KmsDataKeyReusePeriodSeconds support.https://aws.amazon.com/blogs/big-data/encrypt-and-decrypt-amazon-kinesis-records-using-aws-kms/,Hide Permalink Andrea Cosentino added a comment - 6 days ago Will do on aws2. Aws components will be deprecated soon Show Andrea Cosentino added a comment - 6 days ago Will do on aws2. Aws components will be deprecated soon
CAMEL-15908,James Netherton,2020-11-30T14:27:55+0000,1606728475， where 1606728475 is the epoch,Similar to CAMEL-15255， there are some additional counter metrics we could add to the MicrometerRoutePolicy for: Total exchanges processed Number of failures handled Number of external redeliveries,There are no comments yet on this issue.
CAMEL-15907,Unassigned,2020-12-02T15:54:37+0000,1606906477， where 1606906477 is the epoch,Release 2.25.2 is present under https://downloads.apache.org/camel/apache-camel/ however it is not listed on the main downloads page.It should either be listed as a current release， or dropped from the mirrors.,Hide Permalink Sebb added a comment - 4 days ago Likewise for https://downloads.apache.org/camel/camel-k/1.2.0/ which does not appear to be listed anywhere. Show Sebb added a comment - 4 days ago Likewise for https://downloads.apache.org/camel/camel-k/1.2.0/ which does not appear to be listed anywhere. Hide Permalink Claus Ibsen added a comment - 4 days ago Deleted svn delete https://dist.apache.org/repos/dist/release/camel/camel-k/1.2.0/ Show Claus Ibsen added a comment - 4 days ago Deleted svn delete https://dist.apache.org/repos/dist/release/camel/camel-k/1.2.0/ Hide Permalink Claus Ibsen added a comment - 4 days ago The download page is being rewamped by Zoran so it includes all the relevant releases. Show Claus Ibsen added a comment - 4 days ago The download page is being rewamped by Zoran so it includes all the relevant releases.
CAMEL-15906,Unassigned,2020-11-30T10:43:50+0000,1606715030， where 1606715030 is the epoch,Download pages such as https://camel.apache.org/releases/release-3.4.4/ must contain a sigs， hashes， a link to KEYS and info on the need to verify downloads and how to do so.AFAICT they only contain the sigs.Please add the missing items.Also many of the links for older releases are broken.,Hide Permalink Sebb added a comment - 6 days ago Also the sig (asc) links are broken. They must not point to the mirrors. They must point to either https://downloads.apache.org/camel/... or https://archive.apache.org/dist/camel/... Show Sebb added a comment - 6 days ago Also the sig (asc) links are broken. They must not point to the mirrors. They must point to either https://downloads.apache.org/camel/ ... or https://archive.apache.org/dist/camel/ ...
CAMEL-15905,Unassigned,2020-11-30T05:38:53+0000,1606696733， where 1606696733 is the epoch,Current master branch has downgraded Open Tracing API dependency to 0.31.0， which is 1) almost 3 years old; 2) blocks Camel upgrade for projects that are using current version of OT API. Please support upgrade to the latest Camel for projects that are using up-to-date Open Tracing.,Hide Permalink Andrea Cosentino added a comment - 1 week ago There is a reason for that， we are waiting for a MP release supporting latest version of OT， when it will be available， it will be updated. Show Andrea Cosentino added a comment - 1 week ago There is a reason for that， we are waiting for a MP release supporting latest version of OT， when it will be available， it will be updated. Hide Permalink Bogdan Ilchyshyn added a comment - 1 week ago Andrea Cosentino， could you please provide us with a link to the issue where this is tracked? Now this activity is obscure for us and there is no way to know when this happens rather than regularly checking Camel source code. Show Bogdan Ilchyshyn added a comment - 1 week ago Andrea Cosentino ， could you please provide us with a link to the issue where this is tracked? Now this activity is obscure for us and there is no way to know when this happens rather than regularly checking Camel source code. Hide Permalink Andrea Cosentino added a comment - 1 week ago https://issues.apache.org/jira/browse/CAMEL-15354 This was the original issue. The version to wait for is the 4.x Show Andrea Cosentino added a comment - 1 week ago https://issues.apache.org/jira/browse/CAMEL-15354 This was the original issue. The version to wait for is the 4.x Hide Permalink Bogdan Ilchyshyn added a comment - 6 days ago Thank you， we will then follow MP updates. Show Bogdan Ilchyshyn added a comment - 6 days ago Thank you， we will then follow MP updates.
CAMEL-15904,Unassigned,2020-11-28T17:38:26.148Z,1606567106.148， where 1606567106.148 is the epoch,A while back (v37?)， the salesforce streaming API started requiring a replayId.Error subscribing to CamelTestTopic: Replay Id not found for channel. Error (id=794472383-90 (-1822401099))Prior to this， the behavior was equivalent to -1 (new events that are broadcast after the client subscribes). If we default `defaultReplayId` to -1， it provides a sensible default for new projects， and is backwards compatible with existing projects that are on old versions of the streaming API.Related， as of v37， it appears that salesforce no longer supplies the Bayeux clientId in broadcast messages:The protocol does not require clientId:The clientId message field MAY be returned in message responses except for failed handshake requests and for publish message responses that were sent without clientId.I'm guessing they made this change to reduce the surface area for clientId leakage. In any case， forthcoming PR removes non-null assertions for clientId since it's not there anymore.,There are no comments yet on this issue.
